estacion;latitud;altitud;a�o;mes;dia;precipitacion
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;6;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;7;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;8;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;9;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;10;4.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;11;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;12;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;13;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;14;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;15;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;16;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;17;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;18;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;19;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;20;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;21;7.8
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;22;5.2
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;23;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;24;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;25;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;26;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;27;0.0
  Osorno Ad.;40&deg 36' 18'' S;61;2019;2;28;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;1;1.8
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;2;16.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;3;15.6
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;4;0.6
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;5;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;6;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;7;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;8;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;9;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;10;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;11;2.8
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;12;0.6
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;13;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;14;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;15;1.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;16;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;17;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;18;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;19;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;20;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;21;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;22;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;23;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;24;1.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;25;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;27;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;28;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2020;2;29;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;1;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;2;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;3;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;4;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;5;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;6;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;7;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;8;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;9;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;10;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;11;0.0
